Node,Feature,Threshold,Left_Child,Right_Child,Prediction
0,03,0.5,1,2,-1
1,04,434.5,3,4,-1
2,05,0.00028693675994873047,15,16,-1
3,05,0.00028884410858154297,9,10,-1
4,01,15.0,5,6,-1
5,-1,0,0,0,0
6,04,435.5,7,8,-1
7,-1,0,0,0,1
8,-1,0,0,0,0
9,00,180.0,13,14,-1
10,00,180.5,11,12,-1
11,05,0.001054525375366211,103,104,-1
12,04,0.5,73,74,-1
13,-1,0,0,0,1
14,00,1260.0,159,160,-1
15,04,600.5,121,122,-1
16,03,145.5,17,18,-1
17,02,51.5,19,20,-1
18,05,0.0010514259338378906,35,36,-1
19,00,1328.0,25,26,-1
20,05,0.0010515451431274414,21,22,-1
21,00,509.0,23,24,-1
22,00,1306.0,27,28,-1
23,00,192.5,31,32,-1
24,05,0.0003440380096435547,59,60,-1
25,03,144.5,29,30,-1
26,05,0.0009336471557617188,109,110,-1
27,01,9.0,83,84,-1
28,-1,0,0,0,1
29,00,841.0,47,48,-1
30,04,601.5,33,34,-1
31,-1,0,0,0,1
32,00,198.0,39,40,-1
33,05,0.0010465383529663086,41,42,-1
34,-1,0,0,0,0
35,00,1010.0,37,38,-1
36,04,200.5,93,94,-1
37,03,250.5,63,64,-1
38,01,7.0,169,170,-1
39,-1,0,0,0,0
40,03,10.5,43,44,-1
41,-1,0,0,0,1
42,-1,0,0,0,0
43,04,640.0,139,140,-1
44,03,115.5,45,46,-1
45,-1,0,0,0,1
46,-1,0,0,0,0
47,05,0.0010464191436767578,53,54,-1
48,02,3.5,49,50,-1
49,05,0.0010554790496826172,157,158,-1
50,02,4.5,51,52,-1
51,-1,0,0,0,1
52,04,637.5,57,58,-1
53,04,28.5,55,56,-1
54,05,0.0011905431747436523,163,164,-1
55,-1,0,0,0,1
56,00,303.5,61,62,-1
57,-1,0,0,0,0
58,-1,0,0,0,1
59,-1,0,0,0,1
60,03,62.5,113,114,-1
61,-1,0,0,0,0
62,-1,0,0,0,0
63,00,514.5,65,66,-1
64,03,252.5,67,68,-1
65,05,0.0007699728012084961,105,106,-1
66,-1,0,0,0,1
67,-1,0,0,0,1
68,04,486.0,69,70,-1
69,-1,0,0,0,0
70,04,490.0,71,72,-1
71,-1,0,0,0,1
72,-1,0,0,0,0
73,01,1.0,75,76,-1
74,00,500.0,171,172,-1
75,-1,0,0,0,1
76,00,369.0,77,78,-1
77,05,0.0010329484939575195,79,80,-1
78,-1,0,0,0,0
79,05,0.0007399320602416992,97,98,-1
80,00,340.0,81,82,-1
81,-1,0,0,0,0
82,-1,0,0,0,0
83,01,3.0,85,86,-1
84,00,513.0,87,88,-1
85,-1,0,0,0,0
86,-1,0,0,0,1
87,-1,0,0,0,0
88,03,63.0,89,90,-1
89,03,47.5,91,92,-1
90,-1,0,0,0,0
91,-1,0,0,0,0
92,-1,0,0,0,0
93,-1,0,0,0,0
94,00,1032.5,95,96,-1
95,-1,0,0,0,0
96,-1,0,0,0,0
97,00,320.5,99,100,-1
98,01,13.0,101,102,-1
99,-1,0,0,0,0
100,-1,0,0,0,1
101,-1,0,0,0,1
102,-1,0,0,0,0
103,-1,0,0,0,1
104,-1,0,0,0,1
105,02,102.5,111,112,-1
106,02,146.5,107,108,-1
107,02,22.0,119,120,-1
108,-1,0,0,0,0
109,-1,0,0,0,1
110,-1,0,0,0,1
111,-1,0,0,0,0
112,02,142.5,155,156,-1
113,00,1303.0,115,116,-1
114,-1,0,0,0,1
115,00,1003.5,117,118,-1
116,-1,0,0,0,1
117,-1,0,0,0,1
118,-1,0,0,0,1
119,-1,0,0,0,0
120,-1,0,0,0,0
121,02,132.0,131,132,-1
122,03,145.5,123,124,-1
123,03,144.5,125,126,-1
124,01,15.0,141,142,-1
125,00,1022.0,127,128,-1
126,05,2.300739288330078e-05,129,130,-1
127,04,630.5,149,150,-1
128,-1,0,0,0,1
129,-1,0,0,0,0
130,-1,0,0,0,0
131,02,0.5,183,184,-1
132,04,209.5,133,134,-1
133,-1,0,0,0,0
134,03,132.0,135,136,-1
135,02,154.0,137,138,-1
136,-1,0,0,0,0
137,-1,0,0,0,0
138,00,802.5,179,180,-1
139,-1,0,0,0,0
140,-1,0,0,0,0
141,04,848.5,143,144,-1
142,-1,0,0,0,0
143,02,46.5,145,146,-1
144,-1,0,0,0,0
145,-1,0,0,0,0
146,05,0.00013554096221923828,147,148,-1
147,-1,0,0,0,0
148,-1,0,0,0,0
149,03,87.5,151,152,-1
150,-1,0,0,0,0
151,-1,0,0,0,0
152,02,87.0,153,154,-1
153,-1,0,0,0,0
154,-1,0,0,0,1
155,-1,0,0,0,0
156,-1,0,0,0,0
157,-1,0,0,0,0
158,-1,0,0,0,0
159,01,3.0,167,168,-1
160,05,1.1563301086425781e-05,161,162,-1
161,-1,0,0,0,0
162,-1,0,0,0,0
163,-1,0,0,0,0
164,04,77.5,165,166,-1
165,-1,0,0,0,0
166,-1,0,0,0,0
167,-1,0,0,0,0
168,-1,0,0,0,0
169,-1,0,0,0,1
170,-1,0,0,0,1
171,-1,0,0,0,0
172,00,505.5,173,174,-1
173,02,13.5,175,176,-1
174,-1,0,0,0,0
175,04,18.0,177,178,-1
176,-1,0,0,0,0
177,-1,0,0,0,0
178,-1,0,0,0,1
179,-1,0,0,0,0
180,03,34.0,181,182,-1
181,-1,0,0,0,0
182,-1,0,0,0,0
183,-1,0,0,0,0
184,00,1322.5,185,186,-1
185,05,1.3947486877441406e-05,187,188,-1
186,-1,0,0,0,0
187,-1,0,0,0,0
188,02,4.5,189,190,-1
189,04,390.5,195,196,-1
190,00,532.5,191,192,-1
191,-1,0,0,0,0
192,02,10.5,193,194,-1
193,-1,0,0,0,0
194,-1,0,0,0,0
195,-1,0,0,0,0
196,03,24.5,197,198,-1
197,-1,0,0,0,0
198,-1,0,0,0,0
