Node,Feature,Threshold,Left_Child,Right_Child,Prediction
0,00,189.5,1,2,-1
1,02,46.5,3,4,-1
2,00,1329.5,11,12,-1
3,05,0.0010391473770141602,5,6,-1
4,03,6.5,9,10,-1
5,04,139.0,7,8,-1
6,02,38.0,17,18,-1
7,-1,0,0,0,1
8,03,90.5,93,94,-1
9,-1,0,0,0,1
10,01,15.0,23,24,-1
11,02,132.5,31,32,-1
12,04,56.5,13,14,-1
13,01,9.0,21,22,-1
14,00,1417.5,15,16,-1
15,00,1416.5,19,20,-1
16,05,4.8041343688964844e-05,27,28,-1
17,-1,0,0,0,1
18,04,502.5,161,162,-1
19,-1,0,0,0,1
20,04,915.5,145,146,-1
21,-1,0,0,0,1
22,-1,0,0,0,0
23,-1,0,0,0,1
24,04,784.0,25,26,-1
25,02,49.5,29,30,-1
26,-1,0,0,0,1
27,-1,0,0,0,1
28,05,0.0010519027709960938,97,98,-1
29,-1,0,0,0,0
30,-1,0,0,0,0
31,00,1020.5,33,34,-1
32,03,0.5,47,48,-1
33,01,1.0,35,36,-1
34,01,5.0,37,38,-1
35,-1,0,0,0,1
36,00,564.5,61,62,-1
37,-1,0,0,0,0
38,02,72.0,39,40,-1
39,03,1.0,41,42,-1
40,-1,0,0,0,1
41,-1,0,0,0,0
42,04,450.0,43,44,-1
43,02,34.0,101,102,-1
44,02,70.0,45,46,-1
45,-1,0,0,0,1
46,-1,0,0,0,0
47,02,248.5,137,138,-1
48,02,142.5,49,50,-1
49,00,501.5,79,80,-1
50,05,0.0002580881118774414,51,52,-1
51,01,15.0,81,82,-1
52,01,13.0,53,54,-1
53,-1,0,0,0,1
54,00,845.0,55,56,-1
55,03,116.5,57,58,-1
56,-1,0,0,0,1
57,00,198.5,59,60,-1
58,05,0.0009944438934326172,125,126,-1
59,-1,0,0,0,0
60,-1,0,0,0,0
61,05,0.00028383731842041016,67,68,-1
62,02,19.5,63,64,-1
63,05,0.0002759695053100586,87,88,-1
64,04,627.0,65,66,-1
65,04,136.5,75,76,-1
66,02,73.5,115,116,-1
67,05,1.0728836059570312e-06,107,108,-1
68,05,0.0010269880294799805,69,70,-1
69,00,192.5,71,72,-1
70,03,145.5,127,128,-1
71,03,253.5,95,96,-1
72,00,250.5,73,74,-1
73,-1,0,0,0,0
74,-1,0,0,0,0
75,03,60.5,85,86,-1
76,02,63.0,77,78,-1
77,-1,0,0,0,1
78,-1,0,0,0,0
79,-1,0,0,0,0
80,-1,0,0,0,0
81,04,327.5,83,84,-1
82,03,121.5,119,120,-1
83,03,60.5,111,112,-1
84,-1,0,0,0,1
85,-1,0,0,0,0
86,-1,0,0,0,0
87,02,10.5,147,148,-1
88,05,0.0010182857513427734,89,90,-1
89,01,11.0,91,92,-1
90,00,957.5,165,166,-1
91,-1,0,0,0,1
92,-1,0,0,0,0
93,02,41.5,103,104,-1
94,-1,0,0,0,0
95,-1,0,0,0,1
96,-1,0,0,0,1
97,-1,0,0,0,1
98,02,86.5,99,100,-1
99,-1,0,0,0,1
100,-1,0,0,0,1
101,-1,0,0,0,0
102,00,1257.0,117,118,-1
103,05,0.0007065534591674805,105,106,-1
104,02,43.5,167,168,-1
105,-1,0,0,0,0
106,-1,0,0,0,0
107,00,366.5,109,110,-1
108,02,22.5,139,140,-1
109,-1,0,0,0,0
110,00,483.0,135,136,-1
111,04,216.5,133,134,-1
112,04,260.0,113,114,-1
113,-1,0,0,0,0
114,-1,0,0,0,0
115,-1,0,0,0,1
116,-1,0,0,0,1
117,-1,0,0,0,0
118,-1,0,0,0,0
119,05,2.5510787963867188e-05,121,122,-1
120,00,635.5,159,160,-1
121,03,80.5,155,156,-1
122,04,840.5,123,124,-1
123,-1,0,0,0,0
124,-1,0,0,0,0
125,-1,0,0,0,0
126,-1,0,0,0,0
127,00,252.5,129,130,-1
128,05,0.001047968864440918,131,132,-1
129,-1,0,0,0,0
130,-1,0,0,0,0
131,-1,0,0,0,0
132,-1,0,0,0,0
133,-1,0,0,0,0
134,-1,0,0,0,0
135,-1,0,0,0,0
136,-1,0,0,0,0
137,02,195.5,151,152,-1
138,-1,0,0,0,0
139,00,369.0,141,142,-1
140,04,629.5,143,144,-1
141,-1,0,0,0,0
142,-1,0,0,0,0
143,-1,0,0,0,0
144,-1,0,0,0,0
145,-1,0,0,0,0
146,-1,0,0,0,0
147,03,7.5,157,158,-1
148,00,993.5,149,150,-1
149,-1,0,0,0,0
150,-1,0,0,0,0
151,00,341.5,171,172,-1
152,05,0.0005664825439453125,153,154,-1
153,-1,0,0,0,0
154,-1,0,0,0,0
155,-1,0,0,0,0
156,-1,0,0,0,0
157,-1,0,0,0,0
158,-1,0,0,0,0
159,-1,0,0,0,0
160,-1,0,0,0,0
161,03,30.5,163,164,-1
162,-1,0,0,0,0
163,-1,0,0,0,0
164,-1,0,0,0,0
165,-1,0,0,0,0
166,-1,0,0,0,0
167,-1,0,0,0,0
168,04,732.5,169,170,-1
169,-1,0,0,0,0
170,-1,0,0,0,0
171,02,192.5,173,174,-1
172,-1,0,0,0,0
173,-1,0,0,0,0
174,-1,0,0,0,0
