Node,Feature,Threshold,Left_Child,Right_Child,Prediction
0,02,46.5,1,2,-1
1,00,189.5,5,6,-1
2,00,192.5,3,4,-1
3,02,47.5,9,10,-1
4,03,0.5,17,18,-1
5,02,40.5,7,8,-1
6,03,145.5,73,74,-1
7,-1,0,0,0,1
8,-1,0,0,0,0
9,03,3.5,11,12,-1
10,01,15.0,13,14,-1
11,-1,0,0,0,1
12,-1,0,0,0,0
13,-1,0,0,0,1
14,02,54.0,15,16,-1
15,-1,0,0,0,0
16,-1,0,0,0,1
17,-1,0,0,0,0
18,05,0.0002859830856323242,19,20,-1
19,03,127.5,55,56,-1
20,03,120.5,21,22,-1
21,03,56.5,27,28,-1
22,00,508.5,23,24,-1
23,04,584.5,127,128,-1
24,01,15.0,25,26,-1
25,03,234.0,105,106,-1
26,05,0.0010603666305541992,49,50,-1
27,00,844.5,31,32,-1
28,05,0.001037001609802246,29,30,-1
29,00,202.0,33,34,-1
30,00,1027.0,37,38,-1
31,05,0.0010404586791992188,39,40,-1
32,03,50.5,35,36,-1
33,-1,0,0,0,0
34,05,0.00034546852111816406,41,42,-1
35,-1,0,0,0,1
36,04,514.0,53,54,-1
37,01,15.0,51,52,-1
38,-1,0,0,0,1
39,05,0.0007616281509399414,43,44,-1
40,00,525.0,109,110,-1
41,-1,0,0,0,0
42,04,851.5,107,108,-1
43,00,493.5,47,48,-1
44,00,354.0,45,46,-1
45,-1,0,0,0,0
46,-1,0,0,0,1
47,-1,0,0,0,0
48,-1,0,0,0,0
49,-1,0,0,0,0
50,-1,0,0,0,0
51,03,59.5,65,66,-1
52,05,0.001073002815246582,113,114,-1
53,-1,0,0,0,0
54,-1,0,0,0,0
55,00,1302.5,57,58,-1
56,00,878.5,59,60,-1
57,01,9.0,67,68,-1
58,-1,0,0,0,1
59,04,492.5,179,180,-1
60,02,67.5,61,62,-1
61,05,4.398822784423828e-05,167,168,-1
62,05,1.2516975402832031e-05,63,64,-1
63,-1,0,0,0,0
64,-1,0,0,0,0
65,-1,0,0,0,0
66,-1,0,0,0,0
67,05,1.8477439880371094e-05,69,70,-1
68,04,620.5,97,98,-1
69,-1,0,0,0,0
70,04,119.5,71,72,-1
71,-1,0,0,0,0
72,-1,0,0,0,0
73,01,1.0,75,76,-1
74,03,251.5,115,116,-1
75,-1,0,0,0,1
76,03,144.5,77,78,-1
77,05,0.00029098987579345703,79,80,-1
78,00,348.0,85,86,-1
79,00,1344.0,123,124,-1
80,00,1330.5,81,82,-1
81,00,252.5,89,90,-1
82,03,4.0,83,84,-1
83,-1,0,0,0,0
84,-1,0,0,0,1
85,01,12.0,87,88,-1
86,-1,0,0,0,0
87,-1,0,0,0,0
88,-1,0,0,0,0
89,-1,0,0,0,0
90,00,379.5,91,92,-1
91,03,23.5,93,94,-1
92,02,10.5,95,96,-1
93,-1,0,0,0,0
94,-1,0,0,0,0
95,-1,0,0,0,0
96,-1,0,0,0,0
97,00,1033.0,171,172,-1
98,00,511.5,99,100,-1
99,04,630.5,103,104,-1
100,02,222.5,101,102,-1
101,-1,0,0,0,1
102,-1,0,0,0,0
103,-1,0,0,0,0
104,-1,0,0,0,0
105,-1,0,0,0,1
106,-1,0,0,0,1
107,-1,0,0,0,1
108,-1,0,0,0,1
109,01,15.0,189,190,-1
110,00,840.5,111,112,-1
111,-1,0,0,0,0
112,-1,0,0,0,0
113,-1,0,0,0,0
114,-1,0,0,0,0
115,04,190.5,165,166,-1
116,05,0.00026547908782958984,117,118,-1
117,04,487.5,145,146,-1
118,05,0.0010123252868652344,119,120,-1
119,00,191.5,121,122,-1
120,00,191.5,147,148,-1
121,-1,0,0,0,1
122,-1,0,0,0,0
123,00,366.5,139,140,-1
124,03,1.5,125,126,-1
125,-1,0,0,0,0
126,-1,0,0,0,0
127,01,14.0,129,130,-1
128,03,126.5,135,136,-1
129,05,0.001056075096130371,131,132,-1
130,-1,0,0,0,0
131,-1,0,0,0,0
132,05,0.001064896583557129,133,134,-1
133,-1,0,0,0,0
134,-1,0,0,0,0
135,00,195.0,137,138,-1
136,04,986.5,177,178,-1
137,-1,0,0,0,0
138,-1,0,0,0,0
139,05,1.430511474609375e-06,141,142,-1
140,-1,0,0,0,0
141,-1,0,0,0,0
142,01,11.0,143,144,-1
143,-1,0,0,0,0
144,-1,0,0,0,0
145,-1,0,0,0,0
146,05,0.0002485513687133789,155,156,-1
147,04,487.5,149,150,-1
148,-1,0,0,0,0
149,-1,0,0,0,0
150,02,2.0,151,152,-1
151,-1,0,0,0,0
152,05,0.0010714530944824219,153,154,-1
153,-1,0,0,0,0
154,-1,0,0,0,0
155,04,489.5,157,158,-1
156,04,530.5,159,160,-1
157,-1,0,0,0,0
158,03,252.5,161,162,-1
159,-1,0,0,0,0
160,-1,0,0,0,0
161,04,498.5,163,164,-1
162,-1,0,0,0,0
163,-1,0,0,0,0
164,-1,0,0,0,0
165,-1,0,0,0,0
166,05,1.430511474609375e-06,169,170,-1
167,-1,0,0,0,0
168,-1,0,0,0,0
169,-1,0,0,0,0
170,01,15.0,191,192,-1
171,04,137.5,173,174,-1
172,00,1257.0,175,176,-1
173,-1,0,0,0,0
174,-1,0,0,0,0
175,-1,0,0,0,0
176,-1,0,0,0,0
177,-1,0,0,0,0
178,-1,0,0,0,0
179,03,133.5,181,182,-1
180,-1,0,0,0,0
181,-1,0,0,0,0
182,00,453.5,183,184,-1
183,04,264.5,187,188,-1
184,04,299.0,185,186,-1
185,-1,0,0,0,0
186,-1,0,0,0,0
187,-1,0,0,0,0
188,-1,0,0,0,0
189,-1,0,0,0,0
190,-1,0,0,0,0
191,04,518.5,193,194,-1
192,-1,0,0,0,0
193,-1,0,0,0,0
194,02,42.5,195,196,-1
195,03,199.5,197,198,-1
196,-1,0,0,0,0
197,-1,0,0,0,0
198,-1,0,0,0,0
