Node,Feature,Threshold,Left_Child,Right_Child,Prediction
0,00,189.5,1,2,-1
1,04,435.5,3,4,-1
2,01,1.0,5,6,-1
3,-1,0,0,0,1
4,05,0.0010701417922973633,75,76,-1
5,-1,0,0,0,1
6,00,1328.5,7,8,-1
7,05,0.0002859830856323242,13,14,-1
8,04,56.5,9,10,-1
9,03,1.5,89,90,-1
10,00,1417.5,11,12,-1
11,02,144.5,79,80,-1
12,00,1906.0,55,56,-1
13,03,6.5,91,92,-1
14,04,390.5,15,16,-1
15,01,7.0,43,44,-1
16,00,1022.0,17,18,-1
17,00,510.5,19,20,-1
18,02,71.5,31,32,-1
19,05,0.001019120216369629,21,22,-1
20,00,807.5,25,26,-1
21,00,192.5,23,24,-1
22,05,0.001053452491760254,87,88,-1
23,03,253.5,61,62,-1
24,03,145.5,29,30,-1
25,03,53.5,27,28,-1
26,05,0.0010415315628051758,37,38,-1
27,05,0.0010390281677246094,41,42,-1
28,-1,0,0,0,1
29,-1,0,0,0,0
30,-1,0,0,0,0
31,04,576.0,35,36,-1
32,03,4.0,33,34,-1
33,-1,0,0,0,0
34,-1,0,0,0,1
35,04,543.0,105,106,-1
36,-1,0,0,0,1
37,02,14.5,39,40,-1
38,01,15.0,59,60,-1
39,-1,0,0,0,0
40,-1,0,0,0,1
41,-1,0,0,0,1
42,-1,0,0,0,0
43,00,647.5,45,46,-1
44,03,61.5,63,64,-1
45,04,296.5,49,50,-1
46,05,0.0010529756546020508,47,48,-1
47,-1,0,0,0,1
48,-1,0,0,0,0
49,00,384.0,51,52,-1
50,-1,0,0,0,0
51,04,28.0,53,54,-1
52,00,505.0,107,108,-1
53,-1,0,0,0,0
54,-1,0,0,0,0
55,-1,0,0,0,1
56,00,1924.5,57,58,-1
57,-1,0,0,0,0
58,-1,0,0,0,1
59,-1,0,0,0,0
60,-1,0,0,0,0
61,-1,0,0,0,1
62,-1,0,0,0,1
63,03,58.5,65,66,-1
64,02,48.5,115,116,-1
65,05,0.0010219812393188477,67,68,-1
66,02,52.0,71,72,-1
67,01,11.0,69,70,-1
68,00,332.5,131,132,-1
69,-1,0,0,0,0
70,-1,0,0,0,0
71,-1,0,0,0,0
72,04,145.0,73,74,-1
73,-1,0,0,0,1
74,-1,0,0,0,0
75,04,784.5,77,78,-1
76,02,47.5,117,118,-1
77,04,756.5,85,86,-1
78,-1,0,0,0,1
79,03,190.5,81,82,-1
80,05,0.00022304058074951172,83,84,-1
81,-1,0,0,0,1
82,02,73.0,149,150,-1
83,-1,0,0,0,0
84,-1,0,0,0,1
85,-1,0,0,0,0
86,-1,0,0,0,0
87,05,0.0010319948196411133,135,136,-1
88,00,191.5,129,130,-1
89,00,1906.5,161,162,-1
90,-1,0,0,0,0
91,02,248.5,125,126,-1
92,00,1022.5,93,94,-1
93,04,27.5,101,102,-1
94,02,72.5,95,96,-1
95,05,2.4557113647460938e-05,97,98,-1
96,-1,0,0,0,0
97,00,1257.0,133,134,-1
98,00,1273.5,99,100,-1
99,-1,0,0,0,0
100,-1,0,0,0,0
101,03,9.5,103,104,-1
102,02,2.5,109,110,-1
103,-1,0,0,0,0
104,04,25.5,153,154,-1
105,-1,0,0,0,0
106,-1,0,0,0,0
107,-1,0,0,0,0
108,-1,0,0,0,0
109,05,1.0728836059570312e-06,139,140,-1
110,00,532.5,111,112,-1
111,03,145.5,119,120,-1
112,04,730.5,113,114,-1
113,-1,0,0,0,0
114,-1,0,0,0,0
115,00,388.0,167,168,-1
116,03,115.5,121,122,-1
117,-1,0,0,0,0
118,-1,0,0,0,0
119,-1,0,0,0,0
120,-1,0,0,0,0
121,02,103.5,123,124,-1
122,02,110.0,137,138,-1
123,-1,0,0,0,0
124,-1,0,0,0,0
125,00,366.5,141,142,-1
126,05,1.049041748046875e-05,127,128,-1
127,-1,0,0,0,0
128,-1,0,0,0,0
129,-1,0,0,0,0
130,-1,0,0,0,0
131,-1,0,0,0,0
132,-1,0,0,0,0
133,-1,0,0,0,0
134,-1,0,0,0,0
135,-1,0,0,0,0
136,-1,0,0,0,0
137,-1,0,0,0,0
138,-1,0,0,0,0
139,-1,0,0,0,0
140,05,0.00027883052825927734,151,152,-1
141,00,340.0,143,144,-1
142,00,1260.0,147,148,-1
143,03,1.5,163,164,-1
144,03,1.5,145,146,-1
145,-1,0,0,0,1
146,-1,0,0,0,0
147,01,15.0,155,156,-1
148,-1,0,0,0,0
149,-1,0,0,0,0
150,-1,0,0,0,0
151,-1,0,0,0,0
152,-1,0,0,0,0
153,-1,0,0,0,0
154,-1,0,0,0,0
155,03,5.5,159,160,-1
156,00,497.0,157,158,-1
157,-1,0,0,0,0
158,-1,0,0,0,0
159,-1,0,0,0,0
160,-1,0,0,0,0
161,-1,0,0,0,0
162,-1,0,0,0,0
163,-1,0,0,0,0
164,04,736.5,165,166,-1
165,-1,0,0,0,0
166,-1,0,0,0,0
167,05,0.0010699033737182617,169,170,-1
168,-1,0,0,0,0
169,-1,0,0,0,0
170,-1,0,0,0,0
