Node,Feature,Threshold,Left_Child,Right_Child,Prediction
0,00,189.5,1,2,-1
1,04,435.5,3,4,-1
2,00,1328.5,5,6,-1
3,05,0.0013484954833984375,95,96,-1
4,03,112.5,19,20,-1
5,00,1020.5,13,14,-1
6,03,3.5,7,8,-1
7,05,0.0003415346145629883,25,26,-1
8,00,1417.5,9,10,-1
9,00,1416.5,11,12,-1
10,-1,0,0,0,1
11,-1,0,0,0,1
12,-1,0,0,0,0
13,03,8.5,29,30,-1
14,02,106.0,15,16,-1
15,03,0.5,21,22,-1
16,00,1256.0,17,18,-1
17,-1,0,0,0,1
18,-1,0,0,0,0
19,03,67.5,81,82,-1
20,-1,0,0,0,1
21,01,7.0,87,88,-1
22,00,1246.0,23,24,-1
23,-1,0,0,0,1
24,03,49.0,79,80,-1
25,05,3.886222839355469e-05,153,154,-1
26,05,0.0010524988174438477,27,28,-1
27,-1,0,0,0,1
28,05,0.0010814666748046875,91,92,-1
29,00,250.0,101,102,-1
30,00,532.5,31,32,-1
31,04,27.5,33,34,-1
32,05,0.00027763843536376953,35,36,-1
33,-1,0,0,0,1
34,00,388.5,45,46,-1
35,02,21.5,63,64,-1
36,05,0.0010423660278320312,37,38,-1
37,02,14.5,39,40,-1
38,04,994.0,55,56,-1
39,04,171.0,41,42,-1
40,02,223.5,43,44,-1
41,-1,0,0,0,1
42,02,0.5,151,152,-1
43,04,476.0,61,62,-1
44,-1,0,0,0,1
45,05,0.00026094913482666016,47,48,-1
46,03,116.5,73,74,-1
47,02,16.5,145,146,-1
48,02,16.5,49,50,-1
49,00,252.5,51,52,-1
50,00,211.5,53,54,-1
51,-1,0,0,0,0
52,-1,0,0,0,0
53,-1,0,0,0,0
54,-1,0,0,0,0
55,00,759.0,57,58,-1
56,03,167.0,59,60,-1
57,-1,0,0,0,0
58,05,0.0010684728622436523,141,142,-1
59,-1,0,0,0,0
60,-1,0,0,0,0
61,-1,0,0,0,1
62,-1,0,0,0,1
63,04,176.5,163,164,-1
64,04,730.5,65,66,-1
65,03,87.5,71,72,-1
66,03,139.0,67,68,-1
67,05,1.8477439880371094e-05,69,70,-1
68,02,231.5,97,98,-1
69,-1,0,0,0,0
70,-1,0,0,0,1
71,02,63.0,99,100,-1
72,-1,0,0,0,0
73,02,68.0,75,76,-1
74,05,0.00031054019927978516,167,168,-1
75,04,597.5,171,172,-1
76,04,629.5,77,78,-1
77,-1,0,0,0,0
78,-1,0,0,0,0
79,-1,0,0,0,0
80,05,4.1961669921875e-05,133,134,-1
81,05,0.0010905265808105469,155,156,-1
82,05,0.0010286569595336914,83,84,-1
83,05,0.00038683414459228516,85,86,-1
84,02,47.5,137,138,-1
85,02,45.5,177,178,-1
86,-1,0,0,0,0
87,05,0.00016748905181884766,89,90,-1
88,-1,0,0,0,0
89,-1,0,0,0,0
90,-1,0,0,0,0
91,00,1913.0,93,94,-1
92,-1,0,0,0,0
93,-1,0,0,0,0
94,-1,0,0,0,0
95,-1,0,0,0,1
96,-1,0,0,0,1
97,-1,0,0,0,0
98,-1,0,0,0,0
99,-1,0,0,0,0
100,-1,0,0,0,0
101,04,4.0,183,184,-1
102,05,0.00028645992279052734,103,104,-1
103,00,366.5,119,120,-1
104,05,0.0010303258895874023,105,106,-1
105,04,0.5,107,108,-1
106,04,0.5,127,128,-1
107,00,385.5,109,110,-1
108,00,500.0,115,116,-1
109,00,340.0,111,112,-1
110,01,9.0,113,114,-1
111,-1,0,0,0,0
112,-1,0,0,0,1
113,-1,0,0,0,0
114,-1,0,0,0,0
115,04,639.5,125,126,-1
116,00,530.0,117,118,-1
117,-1,0,0,0,0
118,-1,0,0,0,0
119,05,1.7523765563964844e-05,121,122,-1
120,05,2.753734588623047e-05,193,194,-1
121,05,2.5033950805664062e-06,159,160,-1
122,05,9.846687316894531e-05,123,124,-1
123,-1,0,0,0,0
124,01,13.0,143,144,-1
125,-1,0,0,0,0
126,-1,0,0,0,0
127,00,417.5,129,130,-1
128,05,0.0013284683227539062,173,174,-1
129,00,334.0,131,132,-1
130,05,0.0010739564895629883,191,192,-1
131,-1,0,0,0,0
132,-1,0,0,0,0
133,-1,0,0,0,0
134,03,64.5,135,136,-1
135,-1,0,0,0,0
136,05,0.00023448467254638672,139,140,-1
137,-1,0,0,0,0
138,-1,0,0,0,0
139,-1,0,0,0,0
140,-1,0,0,0,0
141,-1,0,0,0,0
142,-1,0,0,0,0
143,-1,0,0,0,0
144,-1,0,0,0,0
145,05,1.9550323486328125e-05,149,150,-1
146,00,214.5,147,148,-1
147,-1,0,0,0,0
148,-1,0,0,0,0
149,-1,0,0,0,0
150,-1,0,0,0,0
151,-1,0,0,0,0
152,-1,0,0,0,0
153,-1,0,0,0,0
154,04,14.5,161,162,-1
155,04,785.0,157,158,-1
156,-1,0,0,0,0
157,-1,0,0,0,0
158,-1,0,0,0,1
159,-1,0,0,0,0
160,-1,0,0,0,0
161,-1,0,0,0,0
162,-1,0,0,0,0
163,04,169.5,165,166,-1
164,-1,0,0,0,0
165,-1,0,0,0,0
166,-1,0,0,0,0
167,-1,0,0,0,0
168,02,217.0,169,170,-1
169,-1,0,0,0,0
170,-1,0,0,0,0
171,-1,0,0,0,0
172,-1,0,0,0,0
173,-1,0,0,0,0
174,00,500.0,175,176,-1
175,-1,0,0,0,0
176,-1,0,0,0,0
177,05,0.00019598007202148438,181,182,-1
178,05,0.00011491775512695312,179,180,-1
179,-1,0,0,0,0
180,-1,0,0,0,0
181,-1,0,0,0,0
182,-1,0,0,0,0
183,01,11.0,185,186,-1
184,02,195.5,187,188,-1
185,-1,0,0,0,0
186,-1,0,0,0,0
187,-1,0,0,0,0
188,00,202.5,189,190,-1
189,-1,0,0,0,0
190,-1,0,0,0,0
191,-1,0,0,0,0
192,-1,0,0,0,0
193,-1,0,0,0,0
194,04,810.5,195,196,-1
195,03,5.5,197,198,-1
196,-1,0,0,0,0
197,-1,0,0,0,0
198,-1,0,0,0,0
