Node,Feature,Threshold,Left_Child,Right_Child,Prediction
0,03,0.5,1,2,-1
1,04,434.5,3,4,-1
2,03,145.5,11,12,-1
3,00,181.5,7,8,-1
4,04,435.5,5,6,-1
5,05,9.894371032714844e-06,143,144,-1
6,01,13.0,175,176,-1
7,05,0.0010585784912109375,91,92,-1
8,01,1.0,9,10,-1
9,-1,0,0,0,1
10,00,366.5,79,80,-1
11,03,144.5,17,18,-1
12,01,3.0,13,14,-1
13,-1,0,0,0,1
14,00,1422.0,15,16,-1
15,04,479.5,111,112,-1
16,-1,0,0,0,1
17,02,51.5,19,20,-1
18,02,13.5,23,24,-1
19,02,10.5,49,50,-1
20,00,1301.0,21,22,-1
21,02,59.5,29,30,-1
22,-1,0,0,0,1
23,-1,0,0,0,0
24,05,2.205371856689453e-05,25,26,-1
25,-1,0,0,0,0
26,05,0.0009845495223999023,27,28,-1
27,-1,0,0,0,1
28,-1,0,0,0,0
29,05,0.0002880096435546875,39,40,-1
30,05,0.00027763843536376953,31,32,-1
31,05,1.8477439880371094e-05,67,68,-1
32,05,0.0010524988174438477,33,34,-1
33,01,9.0,35,36,-1
34,01,9.0,43,44,-1
35,-1,0,0,0,1
36,03,121.5,37,38,-1
37,-1,0,0,0,0
38,-1,0,0,0,0
39,04,137.5,77,78,-1
40,04,138.0,41,42,-1
41,-1,0,0,0,1
42,05,0.0010268688201904297,47,48,-1
43,03,127.5,45,46,-1
44,04,667.5,75,76,-1
45,-1,0,0,0,1
46,-1,0,0,0,0
47,-1,0,0,0,0
48,04,588.0,163,164,-1
49,03,8.5,93,94,-1
50,05,0.0002665519714355469,51,52,-1
51,00,1032.0,65,66,-1
52,00,1328.0,53,54,-1
53,00,510.5,55,56,-1
54,-1,0,0,0,1
55,01,11.0,57,58,-1
56,01,15.0,61,62,-1
57,05,0.0010145902633666992,59,60,-1
58,04,784.5,109,110,-1
59,-1,0,0,0,1
60,-1,0,0,0,0
61,00,1318.0,63,64,-1
62,-1,0,0,0,1
63,-1,0,0,0,0
64,-1,0,0,0,0
65,00,511.5,147,148,-1
66,03,54.5,139,140,-1
67,05,1.430511474609375e-06,141,142,-1
68,00,868.5,69,70,-1
69,05,0.00016605854034423828,73,74,-1
70,04,469.5,71,72,-1
71,-1,0,0,0,0
72,-1,0,0,0,0
73,-1,0,0,0,0
74,-1,0,0,0,0
75,-1,0,0,0,0
76,-1,0,0,0,0
77,-1,0,0,0,0
78,05,2.3484230041503906e-05,159,160,-1
79,04,4.0,81,82,-1
80,05,0.00029599666595458984,165,166,-1
81,01,12.0,83,84,-1
82,-1,0,0,0,0
83,00,340.0,85,86,-1
84,-1,0,0,0,0
85,-1,0,0,0,0
86,05,0.0010551214218139648,87,88,-1
87,05,0.0002739429473876953,89,90,-1
88,-1,0,0,0,0
89,-1,0,0,0,1
90,-1,0,0,0,1
91,-1,0,0,0,1
92,-1,0,0,0,1
93,00,725.5,191,192,-1
94,03,9.5,95,96,-1
95,04,170.5,97,98,-1
96,05,0.00026547908782958984,101,102,-1
97,05,0.0002484321594238281,99,100,-1
98,-1,0,0,0,0
99,04,156.5,107,108,-1
100,-1,0,0,0,0
101,01,15.0,193,194,-1
102,03,53.5,103,104,-1
103,04,390.5,105,106,-1
104,02,3.5,145,146,-1
105,-1,0,0,0,0
106,-1,0,0,0,0
107,-1,0,0,0,0
108,-1,0,0,0,0
109,-1,0,0,0,0
110,-1,0,0,0,0
111,00,1019.0,113,114,-1
112,03,251.5,115,116,-1
113,02,47.5,129,130,-1
114,-1,0,0,0,0
115,00,1014.5,117,118,-1
116,01,15.0,121,122,-1
117,03,220.5,179,180,-1
118,01,15.0,119,120,-1
119,-1,0,0,0,1
120,-1,0,0,0,0
121,05,0.00025069713592529297,123,124,-1
122,-1,0,0,0,0
123,-1,0,0,0,0
124,04,494.0,125,126,-1
125,05,0.0010199546813964844,127,128,-1
126,02,10.0,197,198,-1
127,-1,0,0,0,1
128,-1,0,0,0,0
129,04,190.5,157,158,-1
130,05,0.00031244754791259766,131,132,-1
131,00,440.5,135,136,-1
132,03,202.5,133,134,-1
133,-1,0,0,0,0
134,05,0.0010629892349243164,137,138,-1
135,-1,0,0,0,0
136,-1,0,0,0,0
137,-1,0,0,0,0
138,-1,0,0,0,0
139,-1,0,0,0,0
140,-1,0,0,0,0
141,-1,0,0,0,0
142,00,863.5,189,190,-1
143,-1,0,0,0,1
144,-1,0,0,0,1
145,-1,0,0,0,0
146,-1,0,0,0,0
147,02,16.5,149,150,-1
148,03,70.5,153,154,-1
149,00,311.5,151,152,-1
150,-1,0,0,0,0
151,-1,0,0,0,0
152,-1,0,0,0,0
153,03,36.0,155,156,-1
154,-1,0,0,0,0
155,-1,0,0,0,0
156,-1,0,0,0,0
157,-1,0,0,0,0
158,-1,0,0,0,0
159,-1,0,0,0,0
160,05,0.00022900104522705078,161,162,-1
161,-1,0,0,0,0
162,-1,0,0,0,0
163,-1,0,0,0,0
164,-1,0,0,0,0
165,-1,0,0,0,0
166,00,500.5,167,168,-1
167,-1,0,0,0,0
168,00,505.5,169,170,-1
169,05,0.001011490821838379,171,172,-1
170,-1,0,0,0,0
171,-1,0,0,0,0
172,04,38.0,173,174,-1
173,-1,0,0,0,0
174,-1,0,0,0,0
175,05,0.00016057491302490234,177,178,-1
176,-1,0,0,0,0
177,-1,0,0,0,0
178,-1,0,0,0,0
179,01,15.0,181,182,-1
180,05,0.0003610849380493164,185,186,-1
181,04,837.5,183,184,-1
182,-1,0,0,0,0
183,-1,0,0,0,0
184,-1,0,0,0,0
185,-1,0,0,0,0
186,01,15.0,187,188,-1
187,-1,0,0,0,0
188,-1,0,0,0,0
189,-1,0,0,0,0
190,-1,0,0,0,0
191,-1,0,0,0,0
192,-1,0,0,0,0
193,-1,0,0,0,0
194,05,1.5497207641601562e-05,195,196,-1
195,-1,0,0,0,0
196,-1,0,0,0,0
197,-1,0,0,0,0
198,-1,0,0,0,0
