Node,Feature,Threshold,Left_Child,Right_Child,Prediction
0,00,189.5,1,2,-1
1,00,168.5,65,66,-1
2,01,1.0,3,4,-1
3,-1,0,0,0,1
4,05,0.00027382373809814453,5,6,-1
5,03,8.5,83,84,-1
6,00,1328.5,7,8,-1
7,00,565.5,11,12,-1
8,03,0.5,9,10,-1
9,05,0.0010591745376586914,123,124,-1
10,00,1417.5,35,36,-1
11,05,0.001044154167175293,19,20,-1
12,02,17.5,13,14,-1
13,02,3.5,47,48,-1
14,03,63.5,15,16,-1
15,04,731.0,17,18,-1
16,02,224.5,21,22,-1
17,04,131.5,53,54,-1
18,05,0.0010170936584472656,45,46,-1
19,02,0.5,27,28,-1
20,03,145.5,115,116,-1
21,05,0.001051783561706543,23,24,-1
22,05,0.0010554790496826172,25,26,-1
23,05,0.0005611181259155273,113,114,-1
24,04,617.0,43,44,-1
25,-1,0,0,0,1
26,-1,0,0,0,0
27,04,0.5,37,38,-1
28,00,192.5,29,30,-1
29,05,0.0005515813827514648,59,60,-1
30,03,8.5,31,32,-1
31,00,500.0,57,58,-1
32,01,7.0,33,34,-1
33,-1,0,0,0,1
34,-1,0,0,0,0
35,-1,0,0,0,1
36,02,22.5,63,64,-1
37,00,369.0,39,40,-1
38,-1,0,0,0,0
39,01,12.0,41,42,-1
40,-1,0,0,0,0
41,-1,0,0,0,1
42,-1,0,0,0,0
43,-1,0,0,0,0
44,-1,0,0,0,1
45,-1,0,0,0,1
46,-1,0,0,0,1
47,02,0.5,139,140,-1
48,05,0.0010504722595214844,49,50,-1
49,02,6.5,51,52,-1
50,05,0.0010679960250854492,159,160,-1
51,-1,0,0,0,1
52,02,8.5,61,62,-1
53,05,0.0010641813278198242,109,110,-1
54,05,0.0010186433792114258,55,56,-1
55,-1,0,0,0,0
56,-1,0,0,0,0
57,-1,0,0,0,0
58,-1,0,0,0,0
59,-1,0,0,0,1
60,-1,0,0,0,1
61,-1,0,0,0,0
62,-1,0,0,0,0
63,-1,0,0,0,1
64,-1,0,0,0,1
65,-1,0,0,0,1
66,05,0.0010544061660766602,67,68,-1
67,04,435.5,69,70,-1
68,02,46.5,71,72,-1
69,05,4.172325134277344e-06,167,168,-1
70,02,47.5,81,82,-1
71,02,41.5,77,78,-1
72,02,47.5,73,74,-1
73,03,7.0,75,76,-1
74,-1,0,0,0,0
75,05,0.001067042350769043,173,174,-1
76,-1,0,0,0,0
77,04,640.5,79,80,-1
78,-1,0,0,0,0
79,-1,0,0,0,1
80,-1,0,0,0,0
81,03,50.5,185,186,-1
82,-1,0,0,0,0
83,00,1260.0,149,150,-1
84,03,146.5,85,86,-1
