Node,Feature,Threshold,Left_Child,Right_Child,Prediction
0,00,189.5,1,2,-1
1,03,0.5,3,4,-1
2,05,0.0002859830856323242,17,18,-1
3,05,0.0010544061660766602,5,6,-1
4,02,52.5,15,16,-1
5,05,1.800060272216797e-05,9,10,-1
6,02,46.5,7,8,-1
7,04,121.0,25,26,-1
8,-1,0,0,0,1
9,05,2.5033950805664062e-06,27,28,-1
10,02,46.0,11,12,-1
11,04,176.0,13,14,-1
12,-1,0,0,0,1
13,-1,0,0,0,1
14,-1,0,0,0,0
15,04,782.5,93,94,-1
16,-1,0,0,0,1
17,05,2.205371856689453e-05,91,92,-1
18,05,0.0010460615158081055,19,20,-1
19,00,564.5,21,22,-1
20,01,3.0,75,76,-1
21,03,8.5,35,36,-1
22,03,0.5,23,24,-1
23,02,0.5,71,72,-1
24,05,0.0003466606140136719,31,32,-1
25,-1,0,0,0,1
26,-1,0,0,0,0
27,04,450.0,29,30,-1
28,05,1.4901161193847656e-05,57,58,-1
29,-1,0,0,0,1
30,-1,0,0,0,0
31,02,45.5,55,56,-1
32,02,9.5,33,34,-1
33,02,7.5,49,50,-1
34,00,1324.0,95,96,-1
35,01,11.0,65,66,-1
36,01,7.0,37,38,-1
37,04,64.5,63,64,-1
38,03,145.5,39,40,-1
39,00,199.5,43,44,-1
40,00,192.0,41,42,-1
41,03,253.5,109,110,-1
42,00,491.0,175,176,-1
43,-1,0,0,0,0
44,04,600.5,45,46,-1
45,04,390.0,53,54,-1
46,04,631.5,47,48,-1
47,-1,0,0,0,1
48,-1,0,0,0,0
49,01,11.0,51,52,-1
50,-1,0,0,0,0
51,-1,0,0,0,1
52,-1,0,0,0,0
53,-1,0,0,0,0
54,-1,0,0,0,0
55,-1,0,0,0,0
56,-1,0,0,0,1
57,02,46.5,59,60,-1
58,05,1.5139579772949219e-05,169,170,-1
59,04,441.5,61,62,-1
60,-1,0,0,0,1
61,-1,0,0,0,1
62,-1,0,0,0,0
63,-1,0,0,0,1
64,-1,0,0,0,1
65,04,1.0,67,68,-1
66,00,500.5,79,80,-1
67,00,456.0,69,70,-1
68,-1,0,0,0,0
69,05,0.0007956027984619141,145,146,-1
70,01,9.0,139,140,-1
71,01,4.0,73,74,-1
72,-1,0,0,0,0
73,-1,0,0,0,1
74,-1,0,0,0,0
75,04,1.0,77,78,-1
76,02,132.5,83,84,-1
77,-1,0,0,0,0
78,02,7.0,141,142,-1
79,-1,0,0,0,0
80,04,25.5,81,82,-1
81,-1,0,0,0,0
82,-1,0,0,0,0
83,03,7.5,151,152,-1
84,01,13.0,85,86,-1
85,01,7.0,89,90,-1
86,00,874.0,87,88,-1
87,-1,0,0,0,0
88,-1,0,0,0,1
89,00,502.5,111,112,-1
90,-1,0,0,0,1
91,05,1.0728836059570312e-06,143,144,-1
92,02,132.5,99,100,-1
93,04,449.5,149,150,-1
94,-1,0,0,0,0
95,00,1247.5,97,98,-1
96,-1,0,0,0,1
97,01,13.0,167,168,-1
98,-1,0,0,0,1
99,04,597.5,117,118,-1
100,00,1418.0,101,102,-1
101,05,0.00011599063873291016,103,104,-1
102,-1,0,0,0,1
103,02,170.5,105,106,-1
104,00,875.5,107,108,-1
105,-1,0,0,0,0
106,03,40.5,113,114,-1
107,01,13.0,173,174,-1
108,-1,0,0,0,0
109,-1,0,0,0,1
110,-1,0,0,0,1
111,-1,0,0,0,0
112,-1,0,0,0,0
113,-1,0,0,0,0
114,02,210.5,115,116,-1
115,-1,0,0,0,0
116,-1,0,0,0,0
