Node,Feature,Threshold,Left_Child,Right_Child,Prediction
0,03,0.5,1,2,-1
1,02,46.5,3,4,-1
2,02,131.5,13,14,-1
3,04,0.5,7,8,-1
4,00,181.5,5,6,-1
5,-1,0,0,0,1
6,-1,0,0,0,0
7,00,191.5,9,10,-1
8,-1,0,0,0,0
9,-1,0,0,0,1
10,01,1.0,11,12,-1
11,-1,0,0,0,1
12,01,11.0,109,110,-1
13,04,596.5,41,42,-1
14,05,0.00027382373809814453,15,16,-1
15,00,1418.0,19,20,-1
16,00,845.0,17,18,-1
17,05,0.0010510683059692383,21,22,-1
18,04,964.5,189,190,-1
19,01,15.0,29,30,-1
20,-1,0,0,0,1
21,01,15.0,23,24,-1
22,04,248.0,103,104,-1
23,04,444.0,39,40,-1
24,00,509.0,25,26,-1
25,05,0.0006109476089477539,33,34,-1
26,00,834.0,27,28,-1
27,-1,0,0,0,1
28,-1,0,0,0,0
29,04,344.0,31,32,-1
30,03,127.5,143,144,-1
31,-1,0,0,0,0
32,-1,0,0,0,1
33,03,106.0,99,100,-1
34,03,103.5,35,36,-1
35,03,48.5,37,38,-1
36,-1,0,0,0,0
37,-1,0,0,0,1
38,-1,0,0,0,0
39,-1,0,0,0,1
40,-1,0,0,0,1
41,00,1336.5,43,44,-1
42,04,601.5,47,48,-1
43,04,176.5,71,72,-1
44,04,30.5,45,46,-1
45,-1,0,0,0,0
46,-1,0,0,0,1
47,02,17.5,49,50,-1
48,03,127.5,53,54,-1
49,04,600.5,51,52,-1
50,03,105.5,181,182,-1
51,-1,0,0,0,0
52,05,0.0002601146697998047,57,58,-1
53,00,1020.5,55,56,-1
54,05,0.0003160238265991211,155,156,-1
55,05,0.0002599954605102539,59,60,-1
56,-1,0,0,0,1
57,-1,0,0,0,0
58,05,0.0007829666137695312,119,120,-1
59,02,84.5,127,128,-1
60,04,630.5,61,62,-1
61,04,629.5,63,64,-1
62,05,0.001042008399963379,65,66,-1
63,03,88.5,179,180,-1
64,05,0.0007655620574951172,69,70,-1
65,00,509.0,67,68,-1
66,00,820.5,117,118,-1
67,-1,0,0,0,0
68,-1,0,0,0,0
69,-1,0,0,0,1
70,-1,0,0,0,1
71,01,5.0,73,74,-1
72,00,1033.0,83,84,-1
73,03,130.5,129,130,-1
74,02,3.5,75,76,-1
75,-1,0,0,0,0
76,05,0.00027751922607421875,77,78,-1
77,04,27.5,81,82,-1
78,05,0.0010429620742797852,79,80,-1
79,01,12.0,101,102,-1
80,01,9.0,97,98,-1
81,-1,0,0,0,0
82,04,169.5,151,152,-1
83,05,0.0002645254135131836,85,86,-1
84,01,11.0,95,96,-1
85,05,1.0728836059570312e-06,173,174,-1
86,05,0.001053452491760254,87,88,-1
87,00,191.5,89,90,-1
88,02,109.5,197,198,-1
89,02,10.0,91,92,-1
90,04,390.5,93,94,-1
91,-1,0,0,0,1
92,-1,0,0,0,0
93,-1,0,0,0,0
94,-1,0,0,0,0
95,-1,0,0,0,0
96,02,62.0,105,106,-1
97,-1,0,0,0,0
98,-1,0,0,0,0
99,00,195.0,153,154,-1
100,-1,0,0,0,0
101,-1,0,0,0,1
102,-1,0,0,0,1
103,-1,0,0,0,0
104,05,0.0010734796524047852,121,122,-1
105,04,294.5,107,108,-1
106,00,1263.5,193,194,-1
107,-1,0,0,0,0
108,-1,0,0,0,0
109,00,370.5,111,112,-1
110,-1,0,0,0,0
111,00,340.0,113,114,-1
112,-1,0,0,0,0
113,-1,0,0,0,0
114,05,0.001054525375366211,115,116,-1
115,05,0.0002808570861816406,125,126,-1
116,-1,0,0,0,0
117,-1,0,0,0,0
118,-1,0,0,0,0
119,-1,0,0,0,1
120,-1,0,0,0,1
121,01,15.0,123,124,-1
122,-1,0,0,0,0
123,-1,0,0,0,0
124,05,0.0010689496994018555,175,176,-1
125,-1,0,0,0,1
126,-1,0,0,0,1
127,-1,0,0,0,0
128,02,94.5,139,140,-1
129,05,0.00023806095123291016,131,132,-1
130,-1,0,0,0,0
131,00,1033.0,177,178,-1
132,03,37.5,133,134,-1
133,05,0.001056075096130371,137,138,-1
134,04,101.5,135,136,-1
135,-1,0,0,0,0
136,-1,0,0,0,0
137,-1,0,0,0,0
138,-1,0,0,0,0
139,04,631.0,141,142,-1
140,-1,0,0,0,0
141,-1,0,0,0,0
142,-1,0,0,0,0
143,02,143.5,145,146,-1
144,-1,0,0,0,0
145,-1,0,0,0,0
146,02,173.0,147,148,-1
147,00,195.0,169,170,-1
148,03,124.5,149,150,-1
149,-1,0,0,0,0
150,-1,0,0,0,0
151,-1,0,0,0,0
152,-1,0,0,0,0
153,-1,0,0,0,0
154,-1,0,0,0,0
155,00,1065.0,159,160,-1
156,00,820.5,157,158,-1
157,05,0.0010454654693603516,161,162,-1
158,-1,0,0,0,0
159,-1,0,0,0,0
160,05,1.049041748046875e-05,165,166,-1
161,00,509.0,163,164,-1
162,-1,0,0,0,0
163,05,0.0008854866027832031,167,168,-1
164,-1,0,0,0,0
165,-1,0,0,0,0
166,-1,0,0,0,0
167,-1,0,0,0,0
168,-1,0,0,0,0
169,-1,0,0,0,0
170,05,1.609325408935547e-05,171,172,-1
171,-1,0,0,0,0
172,-1,0,0,0,0
173,00,393.5,185,186,-1
174,-1,0,0,0,0
175,-1,0,0,0,0
176,02,175.0,187,188,-1
177,-1,0,0,0,0
178,-1,0,0,0,0
179,-1,0,0,0,0
180,-1,0,0,0,0
181,00,469.5,183,184,-1
182,-1,0,0,0,0
183,-1,0,0,0,0
184,-1,0,0,0,0
185,-1,0,0,0,0
186,-1,0,0,0,0
187,-1,0,0,0,0
188,-1,0,0,0,0
189,-1,0,0,0,1
190,03,78.5,191,192,-1
191,-1,0,0,0,1
192,-1,0,0,0,1
193,05,0.0002338886260986328,195,196,-1
194,-1,0,0,0,0
195,-1,0,0,0,0
196,-1,0,0,0,0
197,-1,0,0,0,0
198,-1,0,0,0,0
