Node,Feature,Threshold,Left_Child,Right_Child,Prediction
0,02,46.5,1,2,-1
1,00,189.5,7,8,-1
2,04,435.5,3,4,-1
3,00,192.5,5,6,-1
4,03,127.5,11,12,-1
5,-1,0,0,0,1
6,05,0.0002878904342651367,23,24,-1
7,-1,0,0,0,0
8,01,1.0,9,10,-1
9,-1,0,0,0,1
10,02,2.5,51,52,-1
11,01,9.0,13,14,-1
12,00,1424.0,15,16,-1
13,-1,0,0,0,1
14,04,629.5,39,40,-1
15,00,511.5,17,18,-1
16,-1,0,0,0,1
17,01,15.0,35,36,-1
18,02,224.5,19,20,-1
19,01,15.0,21,22,-1
20,03,215.5,149,150,-1
21,-1,0,0,0,1
22,-1,0,0,0,0
23,03,128.5,143,144,-1
24,00,852.5,25,26,-1
25,05,0.0009757280349731445,29,30,-1
26,01,11.0,27,28,-1
27,03,103.0,103,104,-1
28,-1,0,0,0,0
29,03,17.0,31,32,-1
30,03,128.5,121,122,-1
31,05,0.0008120536804199219,193,194,-1
32,00,497.5,33,34,-1
33,03,111.0,49,50,-1
34,05,0.0006489753723144531,125,126,-1
35,02,54.0,37,38,-1
36,-1,0,0,0,0
37,-1,0,0,0,0
38,-1,0,0,0,1
39,01,15.0,45,46,-1
40,00,845.0,41,42,-1
41,04,630.5,43,44,-1
42,-1,0,0,0,1
43,-1,0,0,0,1
44,01,15.0,81,82,-1
45,05,0.00021898746490478516,47,48,-1
46,00,1033.0,85,86,-1
47,-1,0,0,0,0
48,-1,0,0,0,1
49,-1,0,0,0,0
50,05,0.0005583763122558594,117,118,-1
51,05,0.00031745433807373047,87,88,-1
52,04,487.5,53,54,-1
53,05,0.00027191638946533203,65,66,-1
54,00,1422.5,55,56,-1
55,00,1004.5,57,58,-1
56,-1,0,0,0,1
57,00,376.0,59,60,-1
58,00,1218.5,119,120,-1
59,04,488.5,61,62,-1
60,04,643.5,195,196,-1
61,05,0.0004481077194213867,99,100,-1
62,00,250.5,63,64,-1
63,-1,0,0,0,0
64,-1,0,0,0,0
65,00,1322.5,101,102,-1
66,05,0.0010514259338378906,67,68,-1
67,03,6.5,69,70,-1
68,01,7.0,133,134,-1
69,04,38.0,77,78,-1
70,04,205.0,71,72,-1
71,03,11.5,75,76,-1
72,03,54.5,73,74,-1
73,-1,0,0,0,0
74,-1,0,0,0,0
75,-1,0,0,0,1
76,-1,0,0,0,0
77,04,31.0,79,80,-1
78,-1,0,0,0,0
79,-1,0,0,0,0
80,-1,0,0,0,0
81,02,195.5,83,84,-1
82,02,131.5,107,108,-1
83,05,0.00031745433807373047,151,152,-1
84,-1,0,0,0,0
85,05,0.0003279447555541992,127,128,-1
86,00,1274.5,163,164,-1
87,-1,0,0,0,0
88,05,0.0010184049606323242,89,90,-1
89,04,0.5,91,92,-1
90,03,25.5,181,182,-1
91,05,0.0009490251541137695,113,114,-1
92,01,15.0,93,94,-1
93,00,515.5,141,142,-1
94,04,389.5,95,96,-1
95,-1,0,0,0,0
96,02,0.5,97,98,-1
97,-1,0,0,0,0
98,-1,0,0,0,0
99,-1,0,0,0,1
100,-1,0,0,0,1
101,02,3.5,169,170,-1
102,-1,0,0,0,0
103,-1,0,0,0,1
104,02,124.0,105,106,-1
105,-1,0,0,0,1
106,-1,0,0,0,1
107,05,0.000278472900390625,111,112,-1
108,02,143.5,109,110,-1
109,-1,0,0,0,0
110,-1,0,0,0,0
111,-1,0,0,0,0
112,-1,0,0,0,0
113,01,11.0,115,116,-1
114,-1,0,0,0,0
115,05,0.0008693933486938477,123,124,-1
116,-1,0,0,0,0
117,-1,0,0,0,0
118,-1,0,0,0,0
119,-1,0,0,0,0
120,-1,0,0,0,0
121,02,196.5,153,154,-1
122,05,0.0010651350021362305,177,178,-1
123,-1,0,0,0,0
124,-1,0,0,0,0
125,-1,0,0,0,1
