Node,Feature,Threshold,Left_Child,Right_Child,Prediction
0,05,0.0002734661102294922,1,2,-1
1,00,189.5,5,6,-1
2,05,0.0010510683059692383,3,4,-1
3,04,435.5,7,8,-1
4,02,46.5,21,22,-1
5,02,46.5,11,12,-1
6,02,132.5,113,114,-1
7,04,434.5,9,10,-1
8,01,15.0,25,26,-1
9,04,0.5,13,14,-1
10,-1,0,0,0,1
11,04,139.0,17,18,-1
12,03,6.0,19,20,-1
13,00,191.5,15,16,-1
14,03,7.5,33,34,-1
15,-1,0,0,0,1
16,01,1.0,37,38,-1
17,-1,0,0,0,1
18,03,83.5,179,180,-1
19,-1,0,0,0,1
20,-1,0,0,0,0
21,01,3.0,69,70,-1
22,00,181.5,23,24,-1
23,-1,0,0,0,1
24,05,0.0010734796524047852,83,84,-1
25,00,533.0,27,28,-1
26,05,0.0003794431686401367,31,32,-1
27,00,195.0,29,30,-1
28,02,209.0,153,154,-1
29,05,0.000544428825378418,81,82,-1
30,03,13.5,75,76,-1
31,00,1013.0,45,46,-1
32,05,0.001017928123474121,55,56,-1
33,03,0.5,157,158,-1
34,02,2.5,35,36,-1
35,04,390.5,47,48,-1
36,05,0.00033354759216308594,39,40,-1
37,-1,0,0,0,1
38,05,0.0007399320602416992,103,104,-1
39,01,11.0,51,52,-1
40,01,7.0,41,42,-1
41,00,434.5,53,54,-1
42,04,171.5,43,44,-1
43,-1,0,0,0,1
44,-1,0,0,0,0
45,02,15.5,161,162,-1
46,-1,0,0,0,1
47,-1,0,0,0,0
48,03,27.5,49,50,-1
49,-1,0,0,0,1
50,-1,0,0,0,0
51,-1,0,0,0,0
52,-1,0,0,0,0
53,-1,0,0,0,1
54,-1,0,0,0,1
55,03,145.5,57,58,-1
56,02,55.0,73,74,-1
57,04,600.5,59,60,-1
58,-1,0,0,0,0
59,02,52.0,67,68,-1
60,05,0.0004775524139404297,61,62,-1
61,04,640.5,65,66,-1
62,03,1.5,63,64,-1
63,-1,0,0,0,0
64,-1,0,0,0,1
65,-1,0,0,0,1
66,-1,0,0,0,0
67,05,0.0008643865585327148,187,188,-1
68,-1,0,0,0,0
69,02,1.0,71,72,-1
70,05,0.0010541677474975586,177,178,-1
71,-1,0,0,0,0
72,-1,0,0,0,0
73,-1,0,0,0,0
74,04,869.0,175,176,-1
75,-1,0,0,0,0
76,00,199.5,77,78,-1
77,-1,0,0,0,0
78,02,44.5,79,80,-1
79,-1,0,0,0,0
80,-1,0,0,0,1
81,-1,0,0,0,1
82,-1,0,0,0,1
83,00,1305.0,85,86,-1
84,-1,0,0,0,0
85,01,13.0,89,90,-1
86,05,0.0010684728622436523,87,88,-1
87,-1,0,0,0,1
88,-1,0,0,0,1
89,03,130.5,91,92,-1
90,05,0.0010684728622436523,97,98,-1
91,03,3.5,93,94,-1
92,-1,0,0,0,1
93,-1,0,0,0,0
94,01,3.0,95,96,-1
95,-1,0,0,0,0
96,-1,0,0,0,0
97,-1,0,0,0,0
98,00,520.5,99,100,-1
99,-1,0,0,0,0
100,04,664.5,101,102,-1
101,-1,0,0,0,0
102,-1,0,0,0,1
103,00,369.0,105,106,-1
104,01,11.0,109,110,-1
105,01,12.0,107,108,-1
106,-1,0,0,0,0
107,-1,0,0,0,1
108,-1,0,0,0,0
109,00,406.0,111,112,-1
110,-1,0,0,0,0
111,-1,0,0,0,1
112,-1,0,0,0,0
113,05,1.7523765563964844e-05,119,120,-1
114,05,2.5510787963867188e-05,115,116,-1
115,-1,0,0,0,0
116,02,142.5,117,118,-1
117,-1,0,0,0,0
118,02,173.0,139,140,-1
119,-1,0,0,0,0
120,05,0.0001131296157836914,121,122,-1
121,04,386.5,127,128,-1
122,00,1340.5,123,124,-1
123,-1,0,0,0,0
124,05,0.00021159648895263672,125,126,-1
125,-1,0,0,0,1
126,03,1.5,133,134,-1
127,02,125.0,189,190,-1
128,00,986.5,129,130,-1
129,00,532.5,131,132,-1
130,-1,0,0,0,1
131,04,421.5,135,136,-1
132,-1,0,0,0,0
133,-1,0,0,0,0
134,-1,0,0,0,0
135,00,279.0,137,138,-1
136,02,15.5,155,156,-1
137,-1,0,0,0,0
138,-1,0,0,0,0
139,03,156.5,149,150,-1
140,05,0.0001341104507446289,141,142,-1
141,03,4.0,143,144,-1
142,00,884.5,147,148,-1
143,-1,0,0,0,0
144,00,414.5,145,146,-1
145,-1,0,0,0,0
146,-1,0,0,0,1
147,-1,0,0,0,0
148,-1,0,0,0,0
149,05,0.00016939640045166016,151,152,-1
150,-1,0,0,0,0
151,-1,0,0,0,1
152,-1,0,0,0,0
153,-1,0,0,0,1
154,-1,0,0,0,1
155,-1,0,0,0,0
156,-1,0,0,0,0
157,02,13.5,169,170,-1
158,01,10.0,159,160,-1
159,-1,0,0,0,0
160,-1,0,0,0,0
161,-1,0,0,0,0
162,00,530.0,163,164,-1
163,05,0.00031948089599609375,165,166,-1
164,-1,0,0,0,0
165,-1,0,0,0,0
166,00,198.5,167,168,-1
167,-1,0,0,0,0
168,-1,0,0,0,0
169,05,0.0003808736801147461,171,172,-1
170,-1,0,0,0,0
171,-1,0,0,0,0
172,04,38.5,173,174,-1
173,-1,0,0,0,0
174,-1,0,0,0,0
175,-1,0,0,0,0
176,-1,0,0,0,0
177,-1,0,0,0,0
178,02,39.5,181,182,-1
179,-1,0,0,0,0
180,-1,0,0,0,0
181,00,1343.5,183,184,-1
182,-1,0,0,0,0
183,-1,0,0,0,0
184,04,44.5,185,186,-1
185,-1,0,0,0,0
186,-1,0,0,0,0
187,-1,0,0,0,0
188,-1,0,0,0,0
189,01,11.0,191,192,-1
190,-1,0,0,0,0
191,01,5.0,193,194,-1
192,-1,0,0,0,0
193,04,1.0,197,198,-1
194,05,3.802776336669922e-05,195,196,-1
195,-1,0,0,0,0
196,-1,0,0,0,0
197,-1,0,0,0,0
198,-1,0,0,0,0
