Node,Feature,Threshold,Left_Child,Right_Child,Prediction
0,02,46.5,1,2,-1
1,04,0.5,7,8,-1
2,00,192.5,3,4,-1
3,04,441.5,11,12,-1
4,00,1418.0,5,6,-1
5,00,844.5,13,14,-1
6,-1,0,0,0,1
7,00,191.0,9,10,-1
8,05,0.0002759695053100586,25,26,-1
9,-1,0,0,0,1
10,05,0.00027000904083251953,41,42,-1
11,-1,0,0,0,1
12,04,788.0,19,20,-1
13,02,132.5,77,78,-1
14,02,72.5,15,16,-1
15,01,15.0,51,52,-1
16,00,1256.0,17,18,-1
17,-1,0,0,0,1
18,05,0.000270843505859375,21,22,-1
19,04,721.0,47,48,-1
20,-1,0,0,0,1
21,05,1.5616416931152344e-05,117,118,-1
22,05,0.001017451286315918,23,24,-1
23,-1,0,0,0,1
24,-1,0,0,0,0
25,05,1.800060272216797e-05,139,140,-1
26,02,2.5,27,28,-1
27,04,390.5,127,128,-1
28,03,6.5,29,30,-1
29,00,495.0,63,64,-1
30,05,0.001019120216369629,31,32,-1
31,04,175.5,33,34,-1
32,03,9.5,133,134,-1
33,05,0.0005505084991455078,61,62,-1
34,00,824.0,35,36,-1
35,04,601.5,37,38,-1
36,05,0.000519871711730957,49,50,-1
37,00,310.0,39,40,-1
38,00,462.0,111,112,-1
39,-1,0,0,0,0
40,-1,0,0,0,0
41,05,1.7523765563964844e-05,173,174,-1
42,05,0.0010194778442382812,43,44,-1
43,01,1.0,45,46,-1
44,00,369.0,69,70,-1
45,-1,0,0,0,1
46,05,0.0007399320602416992,55,56,-1
47,-1,0,0,0,0
48,-1,0,0,0,0
49,-1,0,0,0,1
50,-1,0,0,0,1
51,05,2.491474151611328e-05,53,54,-1
52,00,1223.5,113,114,-1
53,-1,0,0,0,0
54,-1,0,0,0,0
55,05,0.0002944469451904297,121,122,-1
56,01,11.0,57,58,-1
57,05,0.0008047819137573242,59,60,-1
58,-1,0,0,0,0
59,-1,0,0,0,0
60,05,0.0009425878524780273,159,160,-1
61,-1,0,0,0,1
62,04,30.5,161,162,-1
63,-1,0,0,0,0
64,05,0.0010439157485961914,65,66,-1
65,00,615.5,67,68,-1
66,02,12.0,75,76,-1
67,-1,0,0,0,0
68,00,965.0,197,198,-1
69,01,12.0,71,72,-1
70,00,1367.5,109,110,-1
71,00,340.0,73,74,-1
72,-1,0,0,0,0
73,-1,0,0,0,0
74,-1,0,0,0,0
75,-1,0,0,0,0
76,00,751.0,167,168,-1
77,02,127.5,95,96,-1
78,01,13.0,79,80,-1
79,04,417.0,81,82,-1
80,02,142.5,85,86,-1
81,03,2.0,83,84,-1
82,-1,0,0,0,1
83,-1,0,0,0,0
84,-1,0,0,0,1
85,01,15.0,87,88,-1
86,00,210.0,89,90,-1
87,-1,0,0,0,0
88,-1,0,0,0,0
89,-1,0,0,0,0
90,05,0.0002580881118774414,91,92,-1
91,04,669.5,183,184,-1
92,05,0.0010465383529663086,93,94,-1
93,-1,0,0,0,0
94,-1,0,0,0,0
95,03,122.5,97,98,-1
96,-1,0,0,0,0
97,05,0.0002695322036743164,99,100,-1
98,01,15.0,105,106,-1
99,00,652.5,155,156,-1
