Node,Feature,Threshold,Left_Child,Right_Child,Prediction
0,02,46.5,1,2,-1
1,00,189.5,7,8,-1
2,02,47.5,3,4,-1
3,04,436.0,5,6,-1
4,02,132.5,27,28,-1
5,00,190.5,11,12,-1
6,-1,0,0,0,0
7,02,39.5,9,10,-1
8,05,0.0002878904342651367,13,14,-1
9,-1,0,0,0,1
10,-1,0,0,0,0
11,-1,0,0,0,1
12,-1,0,0,0,0
13,-1,0,0,0,0
14,05,0.0010219812393188477,15,16,-1
15,04,388.5,17,18,-1
16,04,39.5,137,138,-1
17,05,0.0007015466690063477,51,52,-1
18,03,251.5,19,20,-1
19,00,1037.5,21,22,-1
20,05,0.00047791004180908203,47,48,-1
21,04,604.5,23,24,-1
22,-1,0,0,0,1
23,04,600.5,25,26,-1
24,05,0.00038802623748779297,113,114,-1
25,00,310.0,49,50,-1
26,-1,0,0,0,1
27,02,127.5,73,74,-1
28,05,0.0002669095993041992,29,30,-1
29,00,1418.0,35,36,-1
30,05,0.001053452491760254,31,32,-1
31,04,1186.5,37,38,-1
32,00,845.0,33,34,-1
33,00,513.0,123,124,-1
34,00,1417.5,57,58,-1
35,00,850.5,65,66,-1
36,-1,0,0,0,1
37,03,0.5,39,40,-1
38,05,0.0007079839706420898,119,120,-1
39,05,0.0005741119384765625,181,182,-1
40,00,845.0,41,42,-1
41,03,121.5,43,44,-1
42,-1,0,0,0,1
43,05,0.00036644935607910156,45,46,-1
44,03,131.5,55,56,-1
45,-1,0,0,0,0
46,-1,0,0,0,1
47,-1,0,0,0,0
48,02,6.0,103,104,-1
49,-1,0,0,0,0
50,-1,0,0,0,0
51,04,171.0,59,60,-1
52,01,7.0,53,54,-1
53,02,6.5,99,100,-1
54,03,60.5,67,68,-1
55,-1,0,0,0,0
56,-1,0,0,0,0
57,-1,0,0,0,1
58,-1,0,0,0,1
59,03,8.0,61,62,-1
60,-1,0,0,0,0
61,01,3.0,63,64,-1
62,00,431.5,111,112,-1
63,-1,0,0,0,1
64,04,0.5,107,108,-1
65,01,13.0,131,132,-1
66,02,223.0,125,126,-1
67,00,326.0,69,70,-1
68,-1,0,0,0,0
69,-1,0,0,0,0
70,02,3.0,71,72,-1
71,-1,0,0,0,0
72,-1,0,0,0,1
73,01,5.0,75,76,-1
74,02,128.5,183,184,-1
75,00,222.0,77,78,-1
76,03,147.5,79,80,-1
77,03,47.5,185,186,-1
78,-1,0,0,0,0
79,02,99.5,85,86,-1
80,01,15.0,81,82,-1
81,05,0.00022101402282714844,83,84,-1
82,-1,0,0,0,0
83,00,1270.0,109,110,-1
84,-1,0,0,0,1
85,00,1308.0,87,88,-1
86,05,0.000286102294921875,89,90,-1
87,00,654.5,95,96,-1
88,-1,0,0,0,1
89,00,258.0,105,106,-1
90,02,111.5,91,92,-1
91,-1,0,0,0,1
92,00,280.0,93,94,-1
93,-1,0,0,0,0
94,-1,0,0,0,1
95,04,629.5,101,102,-1
96,02,63.5,97,98,-1
97,-1,0,0,0,0
98,-1,0,0,0,0
99,-1,0,0,0,1
100,-1,0,0,0,1
101,-1,0,0,0,0
102,-1,0,0,0,0
103,-1,0,0,0,1
104,-1,0,0,0,1
105,-1,0,0,0,0
106,02,115.5,117,118,-1
107,-1,0,0,0,0
108,-1,0,0,0,0
109,-1,0,0,0,0
110,-1,0,0,0,0
111,-1,0,0,0,0
112,-1,0,0,0,1
113,-1,0,0,0,0
114,02,16.5,115,116,-1
115,-1,0,0,0,0
116,-1,0,0,0,0
117,-1,0,0,0,0
118,-1,0,0,0,0
119,-1,0,0,0,0
120,00,295.0,121,122,-1
121,-1,0,0,0,0
122,-1,0,0,0,0
123,04,942.5,157,158,-1
124,01,12.0,127,128,-1
125,-1,0,0,0,0
126,-1,0,0,0,0
127,-1,0,0,0,0
128,04,890.0,129,130,-1
