Node,Feature,Threshold,Left_Child,Right_Child,Prediction
0,02,46.5,1,2,-1
1,00,189.5,7,8,-1
2,02,47.5,3,4,-1
3,04,436.0,5,6,-1
4,02,132.5,19,20,-1
5,03,0.5,11,12,-1
6,-1,0,0,0,0
7,03,0.5,9,10,-1
8,01,1.0,13,14,-1
9,-1,0,0,0,0
10,03,92.5,131,132,-1
11,-1,0,0,0,1
12,-1,0,0,0,0
13,-1,0,0,0,1
14,00,1331.0,15,16,-1
15,00,380.0,51,52,-1
16,02,1.0,17,18,-1
17,-1,0,0,0,0
18,05,0.0002695322036743164,47,48,-1
19,00,1421.0,21,22,-1
20,05,0.00029647350311279297,23,24,-1
21,00,651.0,33,34,-1
22,-1,0,0,0,1
23,00,1419.0,29,30,-1
24,05,0.0010541677474975586,25,26,-1
25,00,508.5,27,28,-1
26,05,0.0010739564895629883,79,80,-1
27,00,192.5,31,32,-1
28,00,845.0,43,44,-1
29,05,1.895427703857422e-05,103,104,-1
30,-1,0,0,0,1
31,-1,0,0,0,1
32,05,0.0007630586624145508,85,86,-1
33,05,0.0002924203872680664,53,54,-1
34,05,0.0002905130386352539,35,36,-1
35,04,623.5,49,50,-1
36,04,626.5,37,38,-1
37,04,138.0,39,40,-1
38,05,0.0009624958038330078,133,134,-1
39,-1,0,0,0,1
40,05,0.001042008399963379,41,42,-1
41,-1,0,0,0,1
42,02,73.0,93,94,-1
43,03,29.0,45,46,-1
44,00,1257.5,159,160,-1
45,-1,0,0,0,0
46,-1,0,0,0,1
47,-1,0,0,0,0
48,-1,0,0,0,1
49,05,1.990795135498047e-05,143,144,-1
50,04,980.0,91,92,-1
51,02,16.5,65,66,-1
52,00,1105.5,95,96,-1
53,05,2.956390380859375e-05,183,184,-1
54,03,3.5,55,56,-1
55,-1,0,0,0,0
56,05,0.0010269880294799805,57,58,-1
57,03,106.5,59,60,-1
58,01,15.0,153,154,-1
59,05,0.00034046173095703125,61,62,-1
60,04,598.0,63,64,-1
61,-1,0,0,0,0
62,-1,0,0,0,1
63,-1,0,0,0,0
64,-1,0,0,0,0
65,02,15.5,67,68,-1
66,05,0.00027751922607421875,197,198,-1
67,00,328.5,69,70,-1
68,04,601.5,71,72,-1
69,05,0.00026285648345947266,87,88,-1
70,-1,0,0,0,1
71,05,0.0003390312194824219,73,74,-1
72,-1,0,0,0,0
73,03,8.5,77,78,-1
74,00,214.5,75,76,-1
75,-1,0,0,0,0
76,-1,0,0,0,1
77,-1,0,0,0,0
78,-1,0,0,0,0
79,01,13.0,81,82,-1
80,01,15.0,147,148,-1
81,02,193.5,83,84,-1
82,02,191.5,167,168,-1
83,04,195.5,99,100,-1
84,-1,0,0,0,1
85,04,1134.5,111,112,-1
86,05,0.0008255243301391602,127,128,-1
87,00,306.5,141,142,-1
88,05,0.0010510683059692383,89,90,-1
89,-1,0,0,0,0
90,-1,0,0,0,0
91,-1,0,0,0,0
92,-1,0,0,0,0
93,-1,0,0,0,0
94,-1,0,0,0,0
95,00,572.5,113,114,-1
96,00,1219.0,97,98,-1
97,02,18.5,155,156,-1
98,02,17.0,135,136,-1
99,-1,0,0,0,0
100,05,0.0010689496994018555,101,102,-1
101,-1,0,0,0,0
102,-1,0,0,0,0
103,-1,0,0,0,0
104,02,142.5,105,106,-1
105,-1,0,0,0,0
106,01,13.0,107,108,-1
107,04,194.5,109,110,-1
108,04,755.0,163,164,-1
109,-1,0,0,0,0
110,-1,0,0,0,0
111,04,560.5,123,124,-1
112,-1,0,0,0,0
113,-1,0,0,0,0
114,02,19.5,115,116,-1
115,05,0.00026047229766845703,119,120,-1
116,05,0.0002924203872680664,117,118,-1
117,05,3.159046173095703e-05,125,126,-1
118,-1,0,0,0,0
119,02,3.5,195,196,-1
120,05,0.0009719133377075195,121,122,-1
121,-1,0,0,0,0
